Destino,Departamento,Grado de Dificultad,Características,Costos Principales,Opciones de Alojamiento,Opciones de comer,Contacto Principal,Acceso / Ubicación,Coordenadas GPS,Sitio Web,Popularidad,
Conchillas,Colonia,Fácil,Pueblo fundado por una empresa británica en 1887 con un diseño urbanístico singular de casas de piedra con techos de dos aguas de zinc amarillo y amplias paredes de un metro de espesor.,Acceso libre.,"Colonia West Hotel - All Inclusive (Calle de los Vascos, $$$), Hotel Conchillas (David Evans, $$)","Restaurant María María (Conchillas, $$)",Tel: +598 4577 2001 | Correo: conchillas@colonia.gub.uy,"Ruta 21, km 225 + 6 km de camino asfaltado secundario de acceso.","-34.164059, -58.033570",colonia.gub.uy,Emergente,
Confitería Irisarri (Sitio Histórico),Lavalleja,Fácil,Emblemático comercio de 1898 famoso por los alfajores de Minas y los panecillos de los cerros.,Acceso libre comercial.,Hoteles en Minas ($$),Salón de té Irisarri ($$),Tel: +598 4442 2063,"Calle Treinta y Tres 518, Minas","-34.377369, -55.237635",irisarri.com.uy,Alta,
Costanera Norte de Salto,Salto,Fácil,"Paseo ribereño sobre el Río Uruguay. Ideal para caminatas al atardecer, ciclismo, boliches nocturnos, gastronomía y contemplación del paisaje fluvial.",Acceso libre y gratuito.,"Salto Hotel & Casino (25 de Agosto Nro. 5, $$$), Hotel Los Cedros (Uruguay 657, $$), Hotel Eldorado (Sarandí 20, $$), Hotel Español Salto (Brasil 826, $$), Hotel Tia (Brasil 566, $)","La Nueva Terraza (Costanera Norte, $$), Morrison (Costanera Norte, $$)",Tel: +598 4732 2596 | Correo: turismo@salto.gub.uy,"Borde oeste de la ciudad de Salto, accesible de forma directa por Av. Paraguay o Av. Apolón.","-31.320710, -57.966976",turismo.salto.gub.uy,Moderada,
Costanera Sur de Salto,Salto,Fácil,"Tranquilo paseo costero arbolado con hermosas vistas a la ciudad argentina de Concordia, ideal para atardeceres.",Acceso libre.,Hospedajes linderos al río ($$),Restaurante Club Remeros ($$),Tel: +598 4733 4096,"Rambla Costanera Sur, Salto Ciudad","-31.382569, -57.956252",salto.gub.uy,Moderada,
Cristo Redentor de las Termas,Salto,Fácil,"Monumento escultórico y mirador religioso ubicado en los accesos a las Termas del Daymán. Zona para caminatas, ferias artesanales y mirador fotográfico.",Acceso libre y gratuito.,"Hotel Jardines de Dayman (Ruta 3, $$), Hotel Village Termas de Dayman (Ruta 3, $$), Hotel Termas Day (A escasos metros, $$), Apart Hotel Aguasol (Zona de termas, $$)","Brisas del Daymán (Termas del Daymán, $$), El Rancho (Ruta 3, km 488, $$), La Posta del Daymán (Termas del Daymán, $$), El Fogón de Mandinga (Termas del Daymán, $$)",Tel: +598 4736 9711 | Correo: turismo@salto.gub.uy,"Ruta 3, km 486.5, justo en la rotonda de ingreso principal a las Termas del Daymán.","-31.387947, -57.961187",turismo.salto.gub.uy,Moderada,
Cristo Redentor de Salto,Salto,Fácil,Imponente monumento y mirador religioso ubicado en un punto elevado de la costanera sur.,Acceso libre.,Hospedajes en costanera ($$),Sin opciones fijas en el sitio ($),Obispado de Salto,Rambla Costanera Sur final,"-31.387947, -57.961187",salto.gub.uy,Moderada,
Cuaró (Paraje Histórico),Artigas,Fácil,"Paraje rural flanqueado por las vías del tren, célebre históricamente por los combates revolucionarios civiles.",Acceso libre por caminos de balasto.,Cascos de estancias turísticas asociadas ($$$),Venta de productos caseros de campo ($),Tel: +598 4772 3001,"Camino vecinal sur desde Ruta 30, km 85","-30.611974, -56.905177",artigas.gub.uy,Emergente,
Cuartel de Dragones,Maldonado,Fácil,Histórica fortificación militar colonial española construida entre 1771 y 1797. Aquí inició su carrera militar el Gral. José Gervasio Artigas.,Entrada libre y gratuita.,"De la Plaza Hotel (Centro Histórico, $$), Hotel Express (Maldonado Centro, $$)","Lo de Ruben (Santa Teresa 846, $$), Sí Querida (Casona vieja, $$), Classic Restaurant y Parrillada (Av. Joaquín de Viana, $$), La Cantina del Vigía (Calle Vigía, $$$)",Tel: +598 4222 1786 | Correo: patrimoniomaldonado@maldonado.gub.uy,"Calle Rafael Pérez del Puerto esq. 18 de Julio, Maldonado Capital.","-34.909826, -54.959220",culturamaldonado.gub.uy,Moderada,
Cuartel Paso del Rey (Museo Histórico),Durazno,Fácil,"Antiguo complejo militar del siglo XVIII declarado Monumento Histórico Nacional. Conserva los muros de piedra originales y salas que exhiben armamento, uniformes e historia de las misiones de frontera.",Acceso libre y gratuito.,"Hotel Central (Sarandí del Yí, $$), Hotel Refugio's (Sarandí del Yí, $$), Antiestres (Sarandí del Yí, $$), Estancia Los Plátanos (Zona rural, $$$)","Restaurante Parador La Rueda (Sarandí del Yí, $$), Che Moni Restobar (Sarandí del Yí, $$), Chivi Rey (Sarandí del Yí, $), Hamburguesería Viejo Bill (Sarandí del Yí, $)",Tel: +598 4367 2011 | Correo: cultura.sarandi@durazno.gub.uy,"Ruta 6, km 210, en las cercanías de la ciudad de Sarandí del Yí.","-33.315555, -55.602440",durazno.gub.uy,Emergente,
Cueva de los Cuervos,Paysandú,Alto,"Profunda grieta rocosa y formación geológica rodeada de monte de quebrada tupido, refugio de murciélagos y jotes.",Acceso bajo supervisión de guías rurales.,Refugios rústicos de aventura ($),Sin opciones de comer en el sitio ($),Tel: +598 4722 6220,Dentro de la región de los Montes del Queguay,"-32.316837, -58.080054",paysandu.gub.uy,Emergente,
Cueva del Tigre,Paysandú,Moderado,"Formación geológica natural de piedra arenisca y galerías subterráneas, habitada por murciélagos autóctonos.",Preguntar a las agencias locales. Acceso libre bajo propia responsabilidad.,"Salinas del Almirón Resort Termal (Termas de Almirón, $$$), Alquimia Spa y Posada (Guichón, $$), Las Cañas I (Termas de Almirón, $$), Apartamento El Remanso de Almirón (Termas de Almirón, $$), Vista Linda (Termas de Almirón, $$)","Restaurantes y comercios en Guichón (A 12 km, $$)",Tel: +598 4742 2201 | Correo: turismo.guichon@paysandu.gub.uy,A 12 km de Guichón por caminos vecinales de tierra serrana.,"-32.316837, -58.080054",paysandu.gub.uy,Emergente,
Cueva del Tigre,Tacuarembó,Alto,Aventurera formación de caverna entre grietas basálticas profundas en las estribaciones de las sierras del norte.,Acceso exclusivo bajo guía botánica autorizada.,Refugios ecoturísticos rústicos ($$),Sin opciones de comida fijas ($),Tel: +598 4632 4671,"Región norte del departamento, área de Laureles","-31.718205, -55.979991",tacuarembo.gub.uy,Emergente,
Cueva del Tigre (Artigas),Artigas,Alto,Aventurera formación de caverna entre grietas basálticas profundas en las estribaciones de la Sierra del Yaracuy.,Acceso exclusivo bajo guía botánica autorizada.,Refugios ecoturísticos rústicos ($$),Sin opciones de comida fijas ($),Tel: +598 4772 3001,"Región norte del departamento, área de Catalán","-30.404329, -56.469237",artigas.gub.uy,Emergente,
Cueva del Tigre (Cerro Largo),Cerro Largo,Alto,Aventurera formación de caverna entre grietas basálticas profundas en las estribaciones de las sierras del norte.,Acceso exclusivo bajo guía botánica autorizada.,Refugios ecoturísticos rústicos ($$),Sin opciones de comida fijas ($),Tel: +598 4642 2112,"Región norte del departamento, área de Aceguá","-32.441103, -54.352175",cerrolargo.gub.uy,Emergente,
Curtina,Tacuarembó,Fácil,"Pintoresca localidad rural del interior departamental. Conserva tradiciones gauchas muy arraigadas, almacenes coloniales de ramos generales, fachadas antiguas y una gran parquización comunitaria.",Acceso libre.,"Estancia La Perla (Hospedaje rural, $$)","Restaurante El Rincón Del Sabor ($), Rotisería Lo de Mabel ($), Panadería Génesis ($)",Tel: +598 4630 8002 | Correo: junta.curtina@tacuarembo.gub.uy,"Ruta 5, km 317 (Punto estratégico de paso en el eje central de conexión departamental).","-32.146210, -56.116524",tacuarembo.gub.uy,Emergente,
Dársena Higueritas,Colonia,Fácil,Puerto deportivo y náutico muy buscado por navegantes argentinos y locales por su tranquilidad.,Amarre según eslora. Acceso al predio libre.,"Camperismo en dársena ($), Hotel Centro ($$)","Club Náutico Nueva Palmira ($$), Carrito El Timón ($)",Tel: +598 4544 8112 | Prefectura,"Extremo oeste de Nueva Palmira, orillas del Arroyo Higueritas","-33.872570, -58.416715",colonia.gub.uy,Moderada,
Delta del Tigre,San José,Fácil,Zona ribereña sobre el Río Santa Lucía con paisajes fluviales y clubes náuticos.,Acceso libre.,Hospedajes de Ciudad del Plata ($$),Restaurante El Pescador ($$),Tel: +598 4342 9000,"Ciudad del Plata, desembocadura del Santa Lucía","-34.761177, -56.362841",sanjose.gub.uy,Emergente,
Dolores (Capital del Trigo),Soriano,Fácil,"Segunda ciudad del departamento, situada a orillas del Río San Salvador. Destaca por su actividad agroindustrial, su rambla costanera parquizada, museos locales y el histórico muelle comercial.",Acceso libre.,"Dolores Hotel (Céntrico, $$), Hotel Hostal del Espinillo (Con spa, $$$)","Cafetería 1908 (Platos livianos y cafetería, $$), Lo de Lucy Noya (Cocina casera, $$)",Tel: +598 4534 2011 | Correo: municipiodolores@soriano.gub.uy,"Ruta 21, km 315 (A unos 35 km al sur de la ciudad de Mercedes).","-33.533150, -58.215603",soriano.gub.uy,Moderada,
Dolores - Rambla del Río San Salvador,Soriano,Fácil,"Paseo costanera en la segunda ciudad del departamento, amplios espacios verdes, muelles náuticos y áreas de recreación infantil.",Acceso libre y gratuito.,"Hotel Plaza Dolores (Céntrico, $$), Moteles Municipales El Camoatí ($), Estancia El Ombú (Zona rural, $$$)","Restaurante La Tinaja (Frente a la rambla, $$), Parrilla El Trébol (Centro, $$), El Timón Café ($)",Tel: +598 4534 2351 | Correo: municipiodolores@soriano.gub.uy,"Costanera de Dolores, bordeando el Río San Salvador. Acceso por Ruta 21.","-33.533150, -58.215603",soriano.gub.uy,Alta,
Ecilda Paullier (Plaza e Iglesia),San José,Fácil,"Tranquila localidad de herencia agrícola, famosa por sus quesos y su plaza arbolada.",Acceso libre.,Cabañas de la zona ($$),Quesería y Restaurante La Posada ($$),Tel: +598 4349 2011,"Ruta 1, km 101, Ecilda Paullier","-34.361638, -57.055743",sanjose.gub.uy,Moderada,
Ecilda Paullier (Ruta de los Quesos),San José,Fácil,"Turismo gastronómico y rural. Visita a establecimientos productores de quesos artesanales de herencia suiza, degustaciones y compras.",Acceso libre a la localidad. Degustaciones y tours guiados en granjas: ~$400 a $800 UYU.,"Estancia Don Joaquín (Ruta 1 km 94.5, $$$), Cabaña Tía Sonia ($), El Galope Hostel ($), Granja Hotel Suizo ($$)","Rotisería El Banquete, Parrillada La Criolla ($$)",Tel: +598 4349 2107 | Web: sanjose.gub.uy,"Ruta 1, km 101. Eje de la colonia agrícola de la zona oeste del departamento.","-34.361638, -57.055743",sanjose.gub.uy,Emergente,
Eco Parque Marinero,Maldonado,Fácil,Espacio verde recuperado ideal para el avistamiento de aves locales.,Acceso libre.,Hospedajes en Maldonado centro ($$),Pizzerías cercanas ($),Intendencia de Maldonado,"Calle Mar de Chiloé, Maldonado","-34.627762, -54.961184",maldonado.gub.uy,Emergente,
Eco-Parque San Nicanor,Salto,Fácil,"Reserva natural privada con piscinas termales naturales, lagunas, senderos y zonas para acampar.",Costo de ingreso diario.,"Camping San Nicanor ($), Casco de Estancia ($$$)",Restaurante de campo San Nicanor ($$$),Tel: +598 99 473 111,"Ruta 3, km 485 + 12 km de camino","-31.387947, -57.961187",sannicanor.com.uy,Alta,
Ecoparque Tálice,Flores,Fácil,"Reserva de flora y fauna con más de 75 hectáreas y 1400 animales de diversas especies autóctonas en semilibertad, ideal para turismo familiar y educación ambiental.",Entrada general: $350 UYU. Niños de 3 a 9 años: $300 UYU. Menores de 3 años gratis.,"Hotel Talice (Trinidad, $$), Trinidad Inn (Trinidad, $$), Hotel Trinidad (Trinidad, $)","Cafetería y centro de comidas en Nave Orgánica, Restaurante El Portal de Talice (A un lado del parque, $$)",Web: talice.com.uy | Correo: info@talice.com.uy,"Ruta 3, trazado antiguo, km 193 (a escasos minutos al sur de la ciudad de Trinidad).","-33.507710, -56.936415",talice.com.uy,Alta,
Egaña y Ruinas de Calera de las Huérfanas,Soriano,Moderado,"Entorno rural e histórico vinculado a antiguas construcciones coloniales y canteras de piedra caliza de la época jesuítica, ideal para turismo histórico y desconexión.",Acceso libre.,No se encontraron opciones de alojamiento específicas en el lugar. Hoteles disponibles en Mercedes o Dolores.,No se encontraron opciones específicas en el lugar (se recomienda llevar agua y alimentos),Tel: +598 4532 2201 | Correo: turismo@soriano.gub.uy,"Ruta 2, km 225 + 12 km por camino vecinal de balasto consolidado transitable.","-33.510279, -57.749810",soriano.gub.uy,Emergente,
Egaña y Ruinas del Complejo Agrícola,Soriano,Fácil,Pueblo rural que conserva el encanto de la época ferroviaria y ruinas de silos agrícolas históricos ideales para fotografía documental.,Acceso libre.,"Hospedajes rurales zonales ($$), Hoteles en Mercedes (A 50 km, $$-$$$)","Almacén de Ramos Generales Lo de Pepe (Minutas, $)",Tel: +598 4532 2201,"Acceso por Ruta 2, km 255 desvío por camino vecinal hacia el este de 8 km.","-33.602177, -57.629097",soriano.gub.uy,Emergente,
El Águila (Villa Argentina),Canelones,Fácil,"Enigmática edificación de piedra con forma de cabeza de águila construcida por Natalio Michelizzi, rodeada de mitos leyendas.",Acceso libre al predio exterior. Ingreso al mirador interno: $80 UYU.,"La Quimera del Águila ($$), Casa del Sabalero: Cantolina del Aguila ($$), Hotel Centenario ($$), Hotel Argentina ($$)","Rincón del Águila (Villa Argentina, $$), El Fortín (Fortín de Santa Rosa, $$$), La Pasiva (Atlántida, $$), Don Pedro (Atlántida, $$)",Tel: +598 4372 6101,Calle Alímedes y Rambla de Villa Argentina (pegado a Atlántida).,"-34.776170, -55.420508",canelonesuruguay.gub.uy,Alta,
El Chorro de Cuchilla Alta,Canelones,Fácil,Pintoresca vertiente natural de agua dulce que cae directamente sobre la playa de arena.,Acceso libre.,Alquileres temporales ($$),Paradores de playa ($$),Oficina de Turismo Cuchilla Alta,Playa principal de Cuchilla Alta,"-34.796297, -55.497914",canelones.gub.uy,Alta,
El Eucalipto (Paraje),Paysandú,Fácil,"Pequeño caserío rural del interior profundo, enclave ganadero de paso obligado en las rutas del norte.",Acceso libre.,No se encontraron hoteles comerciales ($),Almacén y pulpería de campaña ($),Tel: +598 4722 6220,"Ruta 26, km 75","-31.902052, -57.268331",paysandu.gub.uy,Emergente,
Embalse de Gabriel Terra (Sector Durazno),Durazno,Fácil,"Gran lago artificial de la represa de Rincón del Bonete, ideal para la pesca de tarariras.",Acceso libre por zonas públicas.,Zonas residenciales vacacionales ($$$),Sin locales fijos de comida ($$),Tel: +598 4362 2201,Costa norte del departamento de Durazno,"-33.023245, -56.028464",durazno.gub.uy,Emergente,
Embalse Paso de las Piedras,Lavalleja,Fácil,"Gran masa de agua rodeada de montes artificiales de eucaliptos, idóneo para la pesca de tarariras.",Acceso libre respetando perímetros públicos.,Estancias rurales linderas ($$$),Sin opciones gastronómicas formales ($),Tel: +598 4442 2201,Camino vecinal desde José Pedro Varela,"-34.352852, -55.203617",lavalleja.gub.uy,Emergente,
Embarcadero de Yates de Dolores,Soriano,Fácil,Infraestructura náutica renovada sobre el Río San Salvador que recibe navegantes del Río Uruguay y el Paraná.,Tasa de amarre establecida por el Municipio de Dolores.,"Hotel Plaza Dolores ($$), Moteles El Camoatí ($)","Restaurante El Timón (Frente al embarcadero, $$), Club Náutico Dolores ($$)",Tel: +598 4534 2351,"Paseo de la Costa esq. Elena Lopez, Dolores.","-34.431477, -57.739208",soriano.gub.uy,Moderada,
Escuela de Lechería de San José,San José,Fácil,Institución educativa histórica que realiza visitas guiadas de producción lechera.,Visitas coordinadas gratuitas.,Hoteles en la ciudad de San José ($$),Venta de productos lácteos propios ($),Tel: +598 4342 2254,"Ruta 3, km 90","-34.308652, -56.725637",utu.edu.uy,Emergente,
Espacio Ciencia (LATU),Montevideo,Fácil,"Museo interactivo de ciencia y tecnología ideal para familias, con experimentos dinámicos y un planetario digital.",Entrada general: $250.,Regency Way Montevideo Hotel ($$$),"Restaurante Green ($$), Comidas rápidas ($$)",Tel: +598 2601 3724,"Av. Italia 6201, Carrasco","-34.878981, -56.081790",espaciociencia.org.uy,Moderada,
Espacio de Arte Contemporáneo (EAC),Montevideo,Fácil,"Centro cultural y museo que funciona en la estructura de la antigua Cárcel de Miguelete. Exhibe arte de vanguardia, instalaciones y propuestas emergentes.",Entrada libre y gratuita.,"AHIVÁ Espacio Temporal (Pensión, $), Smart Hotel Montevideo ($$$), El Secreto Casa Art ($$)",No se encontró información suficiente sobre opciones de comer específicas para este destino.,Tel: +598 2400 3345 | Correo: eac@mec.gub.uy,"Arenal Grande 1930, barrio Cordón.","-34.894540, -56.180969",https://www.instagram.com/eac_uruguay/?hl=es,Moderada,
Espacio Puerto,Salto,Fácil,"Paseo cultural y gastronómico moderno ubicado en la zona portuaria de Salto, con vista al Río Uruguay y espectáculos.",Acceso libre. Consumos según comercio.,"Gran Hotel Concordia (Céntrico, $$), Gran Hotel Uruguay (Céntrico, $$), Hotel Los Cedros (Uruguay 657, $$), Nobile Hotel Solar del Acuario ($$)","Pizzería Rodelu (Salto Shopping, $$), Muá Heladería y Cafetería (Salto Shopping, $), Subway (Salto Shopping, $), Burger King (Salto Shopping, $)",Tel: +598 4733 2123 | Correo: turismo@salto.gub.uy,"Rambla Costanera Norte y calle Brasil, Ciudad de Salto.","-31.385027, -57.974855",turismo.salto.gub.uy,Alta,
Establecimiento Apícola San José,San José,Fácil,Establecimiento enfocado en la producción de miel con talleres explicativos de apicultura.,Visitas coordinadas con costo ($$).,Hoteles en la capital departamental ($$),Degustación de mieles y productos orgánicos ($$),Tel: +598 94 555 123,"Ruta 3, km 102","-33.937125, -56.754652",sanjose.gub.uy,Emergente,
Establecimiento El Ceibo,San José,Fácil,"Granja familiar que ofrece días de campo, avistamiento de fauna y venta de mermeladas.",Entrada con almuerzo incluido ($$$).,Hospedaje rural en la estancia ($$$),Almuerzo casero de campo ($$),Tel: +598 99 876 543,"Ruta 11, km 42, San José","-34.352013, -56.728913",granjaelceibo.com,Emergente,
Establecimiento El Ceibo (Enoturismo y turismo histórico),Florida,Fácil,"Viñedos y bodega boutique familiar que ofrece degustaciones dirigidas, visitas a la bodega y almuerzos maridados con vinos artesanales de Florida. Alberga un museo privado de carruajes antiguos y ofrece días de campo tradicionales.",Degustación y visita: ~$1200 a $2000 UYU (Requiere reserva previa).,Estancia Hostería El Ceibo ($$),The language entered is not supported at this time.,Tel: +598 99 352 114 | Instagram: @bodegaelceibo,"Ruta 5, km 94. A pocos minutos de la ciudad de Florida.","-33.685413, -56.292292",bodegaelceibo.com.uy,Moderada,
Establecimiento Juanicó (Familia Deicas),Canelones,Fácil,"Visitas a cavas históricas de 1830, degustación de vinos de alta gama (Familia Deicas y Don Pascual), entorno natural con avistamiento de aves.",Degustación y tour: ~$1800 UYU. Menú maridaje: ~$3200 UYU.,"Hotel Rivera (Canelones, $$), Posada del Sol (Ruta 5, $$)","Restaurante Juanicó (en bodega, $$$), Parrilla El Ombú (Ruta 5, $$)",Tel: +598 4335 9725 | Correo: visitas@juanico.com.uy,"Ruta 5, km 38.200, Juanicó.","-34.590140, -56.262638",juanico.com.uy,Alta,
Establecimiento Santa Rosa,Canelones,Fácil,"Bodega histórica nacional fundada a fines del siglo XIX, famosa por sus espumosos tradicionales (medio y medio) y sidras en barricas de roble.",Degustación histórica de espumosos: ~$1200 UYU.,"Hotel Alvear (Las Piedras, $$), Posada de los Pájaros (a 8 km, $$)","Comedor del Establecimiento Santa Rosa (eventos de fin de semana, $$)",Tel: +598 2364 5011 | Correo: info@santarosa.com.uy,"Ruta 48, km 11.500, Las Piedras.","-34.499299, -56.039337",santarosa.com.uy,Alta,
Estación Bañado de Rocha,Tacuarembó,Fácil,Pintoresco paraje ferroviario histórico con antiguos galpones ingleses y puentes de hierro coloniales.,Acceso libre.,Hospedajes rurales de la zona de herradura ($$),Sin opciones de comer en el sitio ($),Tel: +598 4632 4671,"Camino vecinal al este de Ruta 5, km 390","-31.585166, -55.868826",tacuarembo.gub.uy,Emergente,
Estación Central de Trenes de Salto,Salto,Fácil,Turismo patrimonial. Edificio histórico de la red ferroviaria británica con andenes de hierro decimonónicos y antigua maquinaria de vapor en exposición exterior.,Acceso libre y gratuito a las zonas de andenes históricos y plazoletas.,"Hotel Danaly (Frente a la estación, $$), Hotel Eldorado (Céntrico, $$), Hotel Los Cedros ($$), Salto Hotel & Casino ($$$), Hotel Tia ($)","La Trattoria (Uruguay 754, $$), El Portón (Luis A. de Herrera 215, $$), Pronto Pizza (19 de Abril 1299, $$)",Tel: +598 4732 2596 | Web: salto.gub.uy,"Calle 19 de Abril y Blanes, zona centro-este de la ciudad de Salto.","-31.394758, -57.966280",turismo.salto.gub.uy,Emergente,
Estación Centurión (Histórica),Cerro Largo,Fácil,Pintoresco paraje ferroviario histórico con antiguos galpones ingleses y puentes de hierro coloniales.,Acceso libre.,Hospedajes rurales de la zona de herradura ($$),Sin opciones de comer en el sitio ($),Tel: +598 4642 2112,Camino vecinal al este de Ruta 8,"-32.145481, -53.788134",cerrolargo.gub.uy,Emergente,
Estación Cuaró (Histórica),Artigas,Fácil,Pintoresco paraje ferroviario histórico con antiguos galpones ingleses y puentes de hierro coloniales abandonados.,Acceso libre.,Hospedajes rurales de la zona de herradura ($$),Sin opciones de comer en el sitio ($),Tel: +598 4772 3001,Camino vecinal al este de Ruta 30,"-30.611974, -56.905177",artigas.gub.uy,Emergente,
Estación de Trenes AFE Treinta y Tres,Treinta y Tres,Fácil,Edificio de gran valor arquitectónico de la época de esplendor del ferrocarril público.,Acceso libre al exterior.,Hotel Estación ($$),Sin opciones dentro del predio ($),A.F.E. Uruguay,Calle Manuel Freire y Atanasio Sierra,"-33.245158, -54.383260",afe.com.uy,Emergente,
Estación de Trenes AFE Trinidad,Flores,Fácil,"Antigua e histórica terminal ferroviaria restaurada, testigo del pasado comercial e industrial de Flores.",Acceso libre al exterior.,Hotel Centro ($$),Restaurantes del centro ($$),Comisión de Patrimonio Flores,"Calle Fondar y Gral. Flores, Trinidad","-33.514177, -56.900554",afe.com.uy,Emergente,
Estación de Trenes de Algorta,Río Negro,Fácil,"Complejo ferroviario histórico semi-abandonado de principios del siglo XX. Atractivo para entusiastas de la fotografía urbana, historia y patrimonio.",Acceso libre y gratuito al predio exterior.,No se encontraron opciones de alojamiento específicas en la localidad; se sugiere buscar en ciudades cercanas como Guichón o Young.,Comedores y almacenes locales en Algorta ($),Tel: +598 4567 2001 (Turismo Río Negro),"Casco urbano de la localidad de Algorta, ingresando por Ruta 25.","-32.423180, -57.395430",rionegro.gub.uy,Emergente,
Estación de Trenes Mercedes (Patrimonio),Soriano,Fácil,"Antiguo edificio ferroviario de arquitectura inglesa, andenes históricos conservados y exhibición de maquinaria antigua.",Acceso libre y exterior.,"Hostal del Espinillo ($), Apart Hotel Hum ($$)","Rotiserías de la zona de la terminal (A 300 metros, $)",Tel: +598 4532 2201,"Calle General Artigas y Ferrocarril, Mercedes.","-33.248634, -58.018761",soriano.gub.uy,Emergente,
Estación del Ferrocarril (Centro Cultural),Durazno,Fácil,Antiguo complejo ferroviario de principios del siglo XX reacondicionado para muestras artesanales y salas de exposiciones fotográficas de la historia local. Conserva vagones originales.,Acceso libre y gratuito.,"Hotel Durazno ($$), Hotel Central ($$), Hotel Santa Cristina ($$$), Brisas de Centenario ($$)","La Estación Resto-Pub (Fines de semana, $)",Tel: +598 4362 3891 | Correo: cultura@durazno.gub.uy,"Calle Doctor Emilio Penza esq. Batlle y Ordóñez, ciudad de Durazno.","-33.378962, -56.524522",durazno.gub.uy,Emergente,
Estación González,San José,Fácil,"Pequeño poblado rural que creció en torno al ferrocarril, ideal para fotografía rural.",Acceso libre.,No se encontraron opciones ($),Almacén El Sol ($),Tel: +598 4342 9000,"Ruta 23, km 110","-34.229312, -56.876688",sanjose.gub.uy,Emergente,
Estación González (Casco Viejo),San José,Fácil,Ruinas e infraestructura habitacional antigua del siglo XIX de valor patrimonial.,Acceso libre desde el exterior.,No se encontraron hospedajes públicos ($),Almacenes de paraje ($),Tel: +598 4342 9000,"Ruta 23, km 112","-34.229312, -56.876688",sanjose.gub.uy,Emergente,
Estación Hernandarias,Florida,Fácil,"Pequeño nudo rural ganadero en las cercanías de las Sierras del Yí, vida netamente rural.",Acceso libre por camino de balasto.,Cascos de estancias turísticas asociadas ($$$),Venta de productos caseros de campo ($),Tel: +598 4352 2201,Camino rural desde Ruta 42,"-33.728937, -55.901587",florida.gub.uy,Emergente,
Estación Kéguay,Paysandú,Fácil,Pintoresco paraje ferroviario histórico con antiguos galpones ingleses abandonados y puentes de hierro coloniales.,Acceso libre.,Hospedajes rurales de Lorenzo Geyres ($$),Sin opciones de comer en el sitio ($),Tel: +598 4722 6220,"Camino vecinal al este de Ruta 3, km 398","-32.077699, -57.919207",paysandu.gub.uy,Emergente,
Estación Mal Abrigo,San José,Fácil,Pueblo turístico con una antigua e histórica estación de tren restaurada por la comunidad.,Acceso libre.,Posadas comunitarias ($$),Parador de la Estación ($$),Tel: +598 4340 2012,"Ruta 23, km 124, Mal Abrigo","-34.148143, -56.953307",sanjose.gub.uy,Moderada,
Estación Mal Abrigo (Centro Cultural),San José,Fácil,"Antiguo complejo ferroviario de principios del siglo XX reacondicionado como centro artesanal y museístico. Conserva andenes, rieles, locomotoras antiguas y salones originales.",Acceso libre.,"La lulita ($), Casa Campo ($$), Finca Piedra - Ranch - Hotel ($$$), Alquileres vacacionales Airbnb ($-$$)","Restaurante El Tannat (Finca Piedra - Ruta 23 km 125, $$$), Cafetería de la Estación (Mal Abrigo, $)",Tel: +598 4340 2100 | Correo: cultura.malabrigo@sanjose.gub.uy,"Calle principal de la localidad de Mal Abrigo, acceso directo por Ruta 23.","-34.148143, -56.953307",sanjose.gub.uy,Emergente,
Estación Palmitas,Soriano,Fácil,"Localidad del interior departamental con fuerte identidad tradicionalista y ferroviaria. Famosa por sus fiestas criollas, ruedos de jineteadas y la antigua arquitectura de su estación.",Acceso libre.,"Hospedaje Paola (Libertador Lavalleja 993, $), Casas de campo y alquileres vacacionales ($$)",The language entered is not supported at this time.,Tel: +598 4530 9002 | Correo: junta.palmitas@soriano.gub.uy,"Ruta 2, km 240 (Eje central de conexión terrestre del departamento).","-33.510517, -57.799556",soriano.gub.uy,Emergente,
Estación Penitente,Lavalleja,Fácil,Innovador complejo de turismo de naturaleza y alojamiento alternativo montado utilizando antiguos vagones de tren de pasajeros totalmente reciclados. Entorno serrano de arroyos y relax.,Acceso libre al paseo. Consumo o alojamiento según tarifas comerciales.,"Eco-Suite Estación Penitente (Vagones de tren reciclados, $$$), Posada Estación Penitente (5 habitaciones, $$)","Restaurante con comida casera, platos internacionales y parrilladas ($$)",Tel: +598 99 765 432 | Instagram: @estacionpenitente,"Ruta 8, km 125 + 16 km por camino vecinal de balasto hacia el Salto del Penitente.","-33.736475, -54.748993",estacionpenitente.com.uy,Emergente,
Estación Porvenir,Paysandú,Fácil,"Pequeña e histórica localidad de matriz lechera e industrial, nacida a orillas del trazado de las vías férreas.",Acceso libre.,Hospedajes residenciales muy familiares ($),Rotiserías locales de minutas ($),Tel: +598 4722 6220,Camino vecinal asfaltado desde Ruta 90,"-32.370784, -57.855669",paysandu.gub.uy,Emergente,
